#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000.jpg,745251,"{}",6,0,"{""name"":""point"",""cx"":941,""cy"":992}","{}"
000.jpg,745251,"{}",6,1,"{""name"":""point"",""cx"":926,""cy"":1676}","{}"
000.jpg,745251,"{}",6,2,"{""name"":""point"",""cx"":830,""cy"":1299}","{}"
000.jpg,745251,"{}",6,3,"{""name"":""point"",""cx"":1037,""cy"":1307}","{}"
000.jpg,745251,"{}",6,4,"{""name"":""point"",""cx"":853,""cy"":1530}","{}"
000.jpg,745251,"{}",6,5,"{""name"":""point"",""cx"":1002,""cy"":1538}","{}"
004.jpg,1986964,"{}",6,0,"{""name"":""point"",""cx"":1220,""cy"":1052}","{}"
004.jpg,1986964,"{}",6,1,"{""name"":""point"",""cx"":1189,""cy"":2014}","{}"
004.jpg,1986964,"{}",6,2,"{""name"":""point"",""cx"":1060,""cy"":1557}","{}"
004.jpg,1986964,"{}",6,3,"{""name"":""point"",""cx"":1353,""cy"":1560}","{}"
004.jpg,1986964,"{}",6,4,"{""name"":""point"",""cx"":1107,""cy"":1854}","{}"
004.jpg,1986964,"{}",6,5,"{""name"":""point"",""cx"":1292,""cy"":1858}","{}"
008.jpg,445246,"{}",6,0,"{""name"":""point"",""cx"":1084,""cy"":267}","{}"
008.jpg,445246,"{}",6,1,"{""name"":""point"",""cx"":1095,""cy"":1386}","{}"
008.jpg,445246,"{}",6,2,"{""name"":""point"",""cx"":927,""cy"":786}","{}"
008.jpg,445246,"{}",6,3,"{""name"":""point"",""cx"":1249,""cy"":782}","{}"
008.jpg,445246,"{}",6,4,"{""name"":""point"",""cx"":964,""cy"":1151}","{}"
008.jpg,445246,"{}",6,5,"{""name"":""point"",""cx"":1232,""cy"":1138}","{}"
012.png,337895,"{}",6,0,"{""name"":""point"",""cx"":264,""cy"":88}","{}"
012.png,337895,"{}",6,1,"{""name"":""point"",""cx"":249,""cy"":383}","{}"
012.png,337895,"{}",6,2,"{""name"":""point"",""cx"":215,""cy"":202}","{}"
012.png,337895,"{}",6,3,"{""name"":""point"",""cx"":308,""cy"":207}","{}"
012.png,337895,"{}",6,4,"{""name"":""point"",""cx"":212,""cy"":316}","{}"
012.png,337895,"{}",6,5,"{""name"":""point"",""cx"":295,""cy"":317}","{}"
1499638930814705792706.jpg,2773538,"{}",6,0,"{""name"":""point"",""cx"":1159,""cy"":1078}","{}"
1499638930814705792706.jpg,2773538,"{}",6,1,"{""name"":""point"",""cx"":1083,""cy"":2223}","{}"
1499638930814705792706.jpg,2773538,"{}",6,2,"{""name"":""point"",""cx"":948,""cy"":1599}","{}"
1499638930814705792706.jpg,2773538,"{}",6,3,"{""name"":""point"",""cx"":1308,""cy"":1631}","{}"
1499638930814705792706.jpg,2773538,"{}",6,4,"{""name"":""point"",""cx"":952,""cy"":1968}","{}"
1499638930814705792706.jpg,2773538,"{}",6,5,"{""name"":""point"",""cx"":1255,""cy"":1986}","{}"
